Timestamp,Name (Optional),Age,Gender,Level of Study,Field of Study,Year of Study,Do you feel that the technical courses in your curriculum are aligned with real-world industry needs?,Do you feel some courses have no practical use in the industry?,How relevant are the skills taught in your current courses?,Are you able to apply the technical skills you've learned in college to real-world projects?,Which programming languages have you learned in your academic curriculum?,Do you feel confident using the programming languages for industry-relevant tasks?,"How often are you given practical, hands-on assignments in your technical courses?",Which technical subjects do you find most difficult to understand?,What challenges do you face when trying to apply theoretical concepts to real-world tasks?,How do you overcome the difficulties in understanding technical subjects?,How confident are you in your ability to apply academic knowledge to an industry job?,Have you completed any internships or part-time jobs related to your field of study?,How relevant was your internship experience to the technical subjects you've learned in college?,Are you satisfied with the amount of project-based learning or practical exposure in your current academic program?,Do you feel you need more skills to be industry-ready upon graduation?,What kind of resources would you prefer to bridge the gap between academic learning and industry readiness?,How do you prefer to learn new skills outside of the classroom?,Do you feel the current curriculum is preparing you for industry requirements?,Would you recommend changes to the curriculum?,Career Goal
,,20,Non-binary,Doctoral,Electronics,3rd year,Yes,Somewhat,5,Yes,C#,1,Rarely,Fluid Mechanics,Insufficient resources,Online tutorials,1,Yes,2,4,Somewhat,Workshops,Peer learning,3,No,Electronics Engineer
,,20,Male,Doctoral,Mechanical Engineering,2nd year,No,No,1,No,C++,2,Rarely,Thermodynamics,Insufficient resources,Extra classes,4,Yes,4,1,No,Mentorship,Bootcamps,2,Yes,Mechanical Engineer
,,19,Non-binary,Doctoral,Electronics,2nd year,Somewhat,No,5,Yes,Java,5,Always,Software Development,Lack of practical exposure,Extra classes,4,Yes,5,1,No,Workshops,Peer learning,3,Yes,Electronics Engineer
,,18,Female,Undergraduate,Computer Science,3rd year,Yes,Yes,2,Yes,JavaScript,3,Often,Algorithms,Lack of practical exposure,Online tutorials,2,No,2,4,No,Mentorship,Online tutorials,1,Yes,Software Developer
,,25,Non-binary,Undergraduate,Electronics,1st year,Somewhat,Yes,5,Yes,C#,5,Sometimes,Circuit Design,Lack of practical exposure,Group studies,1,Yes,5,3,No,Online courses,Online tutorials,1,No,Electronics Engineer
,,20,Non-binary,Postgraduate,Computer Science,2nd year,Somewhat,Somewhat,5,No,Python,4,Always,Data Structures,Lack of practical exposure,Extra classes,3,Yes,1,4,Somewhat,Bootcamps,Bootcamps,4,Yes,Software Developer
,,24,Male,Postgraduate,IT,1st year,Yes,Somewhat,5,Somewhat,Python,1,Often,Software Development,Lack of practical exposure,Practical experiments,2,Yes,1,3,Yes,Online courses,Online tutorials,5,Yes,Software Developer
,,22,Male,Postgraduate,Electronics,2nd year,Yes,Somewhat,3,Yes,C#,2,Often,Circuit Design,Insufficient resources,Practical experiments,4,Yes,4,5,Somewhat,Bootcamps,Bootcamps,4,No,Electronics Engineer
,,20,Female,Undergraduate,Mechanical Engineering,2nd year,Yes,No,4,No,C++,3,Sometimes,Algorithms,Insufficient resources,Group studies,5,Yes,3,5,No,Mentorship,Bootcamps,3,Not sure,Mechanical Engineer
,,25,Male,Doctoral,Computer Science,1st year,No,Yes,3,Somewhat,C++,5,Rarely,Data Structures,Limited resources,Practical experiments,2,No,3,5,Yes,Online courses,Mentorship,4,No,Software Developer
,,22,Female,Undergraduate,Mechanical Engineering,1st year,Somewhat,Yes,2,Yes,Python,5,Rarely,Mathematics,Lack of practical exposure,Group studies,3,No,4,3,No,Bootcamps,Online tutorials,1,Not sure,Mechanical Engineer
,,18,Female,Undergraduate,Computer Science,1,Yes,No,5,Yes,Python,4,Always,Data Structures,Lack of practical exposure,Online tutorials,5,Yes,4,3,Yes,Bootcamps,Peer learning,4,Yes,Software Developer
,,19,Male,Postgraduate,Mechanical Engineering,2,Somewhat,Yes,4,No,JavaScript,3,Rarely,Algorithms,Time constraints,Group studies,3,No,2,4,No,Mentorship,Online tutorials,3,Somewhat,Mechanical Engineer
,,20,Non-binary,Doctoral,Electrical Engineering,3,No,Somewhat,3,Yes,SQL,2,Sometimes,Circuit Design,Insufficient resources,Practical experiments,4,Yes,3,5,Yes,Workshops,Bootcamps,5,Yes,Electronics Engineer
,,21,Female,Undergraduate,Electronics,4,Yes,No,5,Somewhat,Java,5,Often,Thermodynamics,Lack of practical exposure,Extra classes,4,No,5,5,Somewhat,Online courses,Peer learning,4,Somewhat,Electronics Engineer
,,22,Male,Doctoral,IT,1,No,Yes,4,Yes,C++,3,Always,Software Development,Time constraints,Group studies,5,Yes,4,2,Yes,Bootcamps,Mentorship,4,No,Software Developer
,,23,Non-binary,Undergraduate,Civil Engineering,2,Somewhat,Somewhat,2,Yes,Python,4,Rarely,Fluid Mechanics,Insufficient resources,Online tutorials,3,Yes,3,1,Yes,Peer learning,Bootcamps,5,Somewhat,Civil Engineer
,,24,Female,Postgraduate,IT,3,Yes,Yes,5,Yes,Java,5,Often,Algorithms,Time constraints,Group studies,5,Yes,5,5,Yes,Bootcamps,Online courses,5,No,Software Developer
,,25,Male,Doctoral,Mechanical Engineering,4,Somewhat,No,3,Somewhat,SQL,2,Sometimes,Data Structures,Lack of practical exposure,Extra classes,4,No,3,2,Yes,Online tutorials,Peer learning,3,Yes,Mechanical Engineer
,,20,Female,Undergraduate,Electronics,2,Yes,Yes,5,Yes,Python,5,Always,Software Development,Time constraints,Online tutorials,5,Yes,4,3,Yes,Mentorship,Bootcamps,4,Yes,Electronics Engineer
,,21,Non-binary,Postgraduate,Electrical Engineering,3,Somewhat,Yes,4,Yes,C++,3,Rarely,Algorithms,Insufficient resources,Practical experiments,3,No,5,4,No,Bootcamps,Peer learning,3,Somewhat,Electronics Engineer
,,18,Male,Undergraduate,IT,4,Yes,No,5,Yes,JavaScript,4,Sometimes,Algorithms,Lack of practical exposure,Extra classes,5,Yes,3,3,Yes,Online courses,Bootcamps,4,Yes,Software Developer
,,19,Female,Postgraduate,Electrical Engineering,2,Somewhat,Yes,3,Somewhat,Python,3,Rarely,Circuit Design,Time constraints,Group studies,3,No,4,4,Somewhat,Bootcamps,Mentorship,3,Somewhat,Electronics Engineer
,,20,Non-binary,Doctoral,Mechanical Engineering,3,No,Somewhat,2,Yes,SQL,2,Always,Software Development,Lack of practical exposure,Practical experiments,4,Yes,2,5,Yes,Peer learning,Bootcamps,5,Yes,Mechanical Engineer
,,21,Male,Undergraduate,Electronics,1,Somewhat,No,4,Somewhat,Java,3,Often,Thermodynamics,Lack of practical exposure,Online tutorials,3,Yes,5,5,No,Mentorship,Online courses,4,Somewhat,Electronics Engineer
,,22,Female,Postgraduate,Computer Science,4,Yes,Yes,5,Yes,C++,4,Rarely,Data Structures,Time constraints,Practical experiments,5,Yes,4,5,Yes,Workshops,Peer learning,5,Yes,Software Developer
,,23,Male,Doctoral,Civil Engineering,2,Somewhat,Yes,3,Yes,Python,3,Rarely,Fluid Mechanics,Insufficient resources,Extra classes,3,No,3,2,Yes,Online tutorials,Mentorship,4,Somewhat,Civil Engineer
,,24,Female,Undergraduate,IT,3,Yes,No,5,Yes,Java,5,Often,Algorithms,Lack of practical exposure,Practical experiments,5,Yes,5,5,Yes,Bootcamps,Peer learning,5,Yes,Software Developer
,,25,Non-binary,Doctoral,Electrical Engineering,1,Somewhat,Yes,4,No,SQL,3,Sometimes,Circuit Design,Time constraints,Online tutorials,4,No,2,4,No,Online courses,Bootcamps,3,No,Electronics Engineer
,,20,Female,Postgraduate,IT,2,Yes,Yes,5,Yes,Python,4,Always,Software Development,Insufficient resources,Extra classes,5,Yes,3,4,Yes,Workshops,Bootcamps,4,Yes,Software Developer
,,21,Male,Undergraduate,Electronics,4,Somewhat,No,3,Yes,Java,3,Sometimes,Algorithms,Lack of practical exposure,Group studies,3,Yes,4,4,Yes,Online tutorials,Peer learning,3,Somewhat,Electronics Engineer
,,22,Non-binary,Postgraduate,Electrical Engineering,3,No,Yes,2,No,C++,1,Rarely,Circuit Design,Time constraints,Practical experiments,3,No,2,4,No,Bootcamps,Online tutorials,4,No,Electronics Engineer
,,20,Female,Undergraduate,Mechanical Engineering,3,Yes,Somewhat,5,Yes,JavaScript,5,Always,Algorithms,Lack of practical exposure,Practical experiments,5,Yes,4,5,Yes,Mentorship,Peer learning,5,Yes,Mechanical Engineer
,,23,Male,Doctoral,Computer Science,2,Somewhat,Yes,3,No,Python,3,Sometimes,Data Structures,Insufficient resources,Extra classes,3,No,3,4,Somewhat,Online courses,Bootcamps,3,Somewhat,Software Developer
,,18,Non-binary,Undergraduate,Civil Engineering,2,Yes,Yes,4,Yes,Java,4,Often,Fluid Mechanics,Lack of practical exposure,Online tutorials,4,Yes,5,5,Yes,Bootcamps,Peer learning,4,Yes,Civil Engineer
,,21,Female,Postgraduate,IT,3,Somewhat,No,3,No,SQL,2,Rarely,Circuit Design,Insufficient resources,Group studies,3,No,2,2,Somewhat,Mentorship,Bootcamps,3,No,Software Developer
,,25,Male,Doctoral,Electrical Engineering,4,Yes,Somewhat,5,Yes,C++,5,Always,Thermodynamics,Lack of practical exposure,Extra classes,5,Yes,4,5,Yes,Online courses,Peer learning,5,Yes,Electronics Engineer
,,20,Female,Undergraduate,IT,2,No,Yes,3,Somewhat,JavaScript,4,Rarely,Algorithms,Time constraints,Group studies,4,Yes,3,5,No,Bootcamps,Online tutorials,4,No,Software Developer
,,22,Non-binary,Doctoral,Mechanical Engineering,3,Somewhat,No,4,Yes,Python,4,Sometimes,Data Structures,Insufficient resources,Practical experiments,3,Yes,5,3,Somewhat,Workshops,Peer learning,5,Somewhat,Mechanical Engineer
,,19,Female,Postgraduate,Electronics,2,Yes,Yes,5,Yes,C#,5,Always,Software Development,Lack of practical exposure,Extra classes,5,Yes,5,5,Yes,Mentorship,Online tutorials,5,Yes,Electronics Engineer
,,24,Male,Undergraduate,Computer Science,4,Somewhat,Yes,4,Yes,Python,4,Often,Algorithms,Insufficient resources,Online tutorials,4,Yes,3,4,Yes,Bootcamps,Peer learning,4,Yes,Software Developer
,,22,Female,Undergraduate,IT,3,Yes,Yes,4,Yes,Python,4,Always,Circuit Design,Lack of practical exposure,Practical experiments,5,Yes,4,5,Yes,Workshops,Peer learning,5,Yes,Software Developer
,,25,Male,Postgraduate,Mechanical Engineering,3,Somewhat,No,3,No,JavaScript,2,Rarely,Thermodynamics,Insufficient resources,Extra classes,2,No,3,3,Somewhat,Online courses,Online tutorials,3,Somewhat,Mechanical Engineer
,,20,Non-binary,Doctoral,Civil Engineering,4,Yes,Yes,5,Yes,SQL,5,Sometimes,Data Structures,Lack of practical exposure,Group studies,5,Yes,5,5,Yes,Bootcamps,Bootcamps,5,Yes,Civil Engineer
,,18,Female,Undergraduate,Electronics,2,Somewhat,Yes,4,No,Java,3,Rarely,Algorithms,Lack of practical exposure,Online tutorials,3,Yes,3,4,No,Mentorship,Online tutorials,3,No,Electronics Engineer
,,23,Non-binary,Doctoral,Computer Science,3,No,Yes,4,Yes,C++,4,Often,Software Development,Time constraints,Extra classes,4,Yes,5,4,Yes,Workshops,Peer learning,4,Yes,Software Developer
,,24,Female,Undergraduate,Civil Engineering,4,Somewhat,Somewhat,3,Yes,Python,2,Sometimes,Circuit Design,Lack of practical exposure,Group studies,2,Yes,4,4,Yes,Bootcamps,Bootcamps,4,Yes,Civil Engineer
,,22,Male,Postgraduate,Electronics,3,Yes,Yes,5,Yes,JavaScript,4,Always,Fluid Mechanics,Lack of practical exposure,Practical experiments,5,Yes,5,5,Yes,Online courses,Peer learning,5,Yes,Electronics Engineer
,,21,Female,Undergraduate,IT,2,Somewhat,No,3,No,C++,3,Rarely,Algorithms,Time constraints,Online tutorials,3,No,2,3,Somewhat,Mentorship,Bootcamps,3,No,Software Developer
,,19,Male,Postgraduate,Mechanical Engineering,2,Yes,Yes,4,Yes,Java,4,Always,Thermodynamics,Lack of practical exposure,Practical experiments,4,Yes,4,4,Yes,Workshops,Peer learning,4,Yes,Mechanical Engineer
,,20,Non-binary,Undergraduate,Civil Engineering,1,No,Somewhat,2,No,SQL,2,Rarely,Data Structures,Insufficient resources,Extra classes,3,No,3,3,Somewhat,Bootcamps,Online tutorials,3,No,Civil Engineer
,,23,Female,Doctoral,Electronics,3,Yes,Yes,5,Yes,Python,5,Often,Circuit Design,Lack of practical exposure,Practical experiments,5,Yes,5,5,Yes,Workshops,Bootcamps,5,Yes,Electronics Engineer
,,21,Non-binary,Undergraduate,Mechanical Engineering,4,Somewhat,No,4,No,JavaScript,2,Rarely,Fluid Mechanics,Time constraints,Group studies,3,No,3,3,Somewhat,Mentorship,Peer learning,3,No,Mechanical Engineer
,,18,Female,Undergraduate,IT,3,Yes,Yes,5,Yes,SQL,5,Sometimes,Algorithms,Lack of practical exposure,Online tutorials,5,Yes,4,5,Yes,Bootcamps,Peer learning,5,Yes,Software Developer
,,25,Male,Postgraduate,Computer Science,2,Somewhat,Yes,3,Yes,C++,4,Sometimes,Data Structures,Lack of practical exposure,Extra classes,3,Yes,3,4,Yes,Online courses,Bootcamps,4,Yes,Software Developer
,,22,Female,Postgraduate,Electrical Engineering,3,Yes,Yes,5,Yes,JavaScript,5,Always,Thermodynamics,Lack of practical exposure,Practical experiments,5,Yes,5,5,Yes,Online courses,Peer learning,5,Yes,Electronics Engineer
,,24,Male,Doctoral,Civil Engineering,3,No,No,2,No,Java,2,Rarely,Circuit Design,Time constraints,Practical experiments,2,No,2,2,No,Mentorship,Bootcamps,2,No,Civil Engineer
,,20,Female,Undergraduate,Electronics,4,Yes,Yes,5,Yes,Python,4,Always,Algorithms,Lack of practical exposure,Practical experiments,5,Yes,5,5,Yes,Workshops,Online tutorials,5,Yes,Electronics Engineer
,,18,Non-binary,Postgraduate,Mechanical Engineering,2,Somewhat,Yes,4,No,C++,2,Rarely,Thermodynamics,Insufficient resources,Group studies,3,No,3,3,Somewhat,Online courses,Peer learning,3,No,Mechanical Engineer
,,21,Male,Undergraduate,IT,3,Yes,Somewhat,5,Yes,Java,4,Always,Data Structures,Lack of practical exposure,Extra classes,5,Yes,5,5,Yes,Mentorship,Bootcamps,5,Yes,Software Developer
,,25,Non-binary,Doctoral,Electrical Engineering,3,Somewhat,No,3,Somewhat,Python,3,Sometimes,Fluid Mechanics,Insufficient resources,Group studies,4,No,4,4,No,Bootcamps,Peer learning,4,No,Electronics Engineer
,,22,Male,Postgraduate,Electronics,4,Yes,Yes,5,Yes,C++,4,Often,Circuit Design,Lack of practical exposure,Online tutorials,5,Yes,5,5,Yes,Workshops,Bootcamps,5,Yes,Electronics Engineer
,,24,Female,Undergraduate,IT,2,Somewhat,Yes,4,Yes,Python,5,Sometimes,Algorithms,Time constraints,Group studies,4,Yes,5,4,Yes,Mentorship,Peer learning,4,Yes,Software Developer
,,20,Non-binary,Doctoral,Civil Engineering,3,Yes,No,3,No,SQL,2,Rarely,Fluid Mechanics,Insufficient resources,Practical experiments,3,No,2,2,No,Online courses,Bootcamps,2,No,Civil Engineer
,,18,Male,Undergraduate,Computer Science,3,No,Somewhat,3,Yes,Java,3,Often,Data Structures,Lack of practical exposure,Extra classes,4,Yes,5,5,Yes,Online courses,Peer learning,5,Yes,Software Developer
,,19,Female,Undergraduate,Mechanical Engineering,4,Yes,Somewhat,5,Yes,JavaScript,4,Always,Thermodynamics,Lack of practical exposure,Practical experiments,5,Yes,4,5,Yes,Workshops,Peer learning,5,Yes,Mechanical Engineer
,,23,Non-binary,Doctoral,Electronics,4,Somewhat,Somewhat,4,Somewhat,Python,3,Rarely,Circuit Design,Time constraints,Group studies,3,No,3,3,No,Mentorship,Online tutorials,3,No,Electronics Engineer
,,21,Male,Postgraduate,IT,2,Yes,Yes,5,Yes,Java,5,Often,Algorithms,Lack of practical exposure,Online tutorials,5,Yes,5,5,Yes,Bootcamps,Peer learning,5,Yes,Software Developer
,,24,Female,Doctoral,Computer Science,4,No,Yes,2,No,C++,2,Rarely,Fluid Mechanics,Insufficient resources,Practical experiments,2,No,2,2,No,Online courses,Peer learning,2,No,Software Developer
,,25,Male,Undergraduate,IT,3,Somewhat,Yes,4,Yes,JavaScript,4,Sometimes,Data Structures,Lack of practical exposure,Extra classes,4,Yes,4,4,Yes,Workshops,Bootcamps,4,Yes,Software Developer
,,20,Non-binary,Postgraduate,Mechanical Engineering,4,Yes,Yes,5,Yes,Python,5,Always,Algorithms,Lack of practical exposure,Practical experiments,5,Yes,5,5,Yes,Workshops,Peer learning,5,Yes,Mechanical Engineer
